Number	Food Name	Calorie	Serving Size	Company	Calorie Source	Categories
99	Puffed Rice Cereal	200	54 g	NA	wisegeek.com	Grains
100	Jelly Beans	200	54 g	Jelly Belly	wisegeek.com	Snack, Dessert
101	Puffed Wheat Cereal	200	53 g	NA	wisegeek.com	Grains
102	Brown Sugar	200	53 g	NA	wisegeek.com	Dessert
103	Glazed Donut	200	52 g	NA	wisegeek.com	Snack, Dessert
104	Salted Pretzels	200	52 g	NA	wisegeek.com	Snack, Grains
105	Medium Cheddar Cheese	200	51 g	NA	wisegeek.com	Dairy
106	Fruit Loops Cereal	200	51 g	Kellogg's	wisegeek.com	Grains
107	Gummy Bears	200	51 g	NA	wisegeek.com	Snack, Dessert
108	Splenda Sweetener	200	50 g	Tate & Lyle	wisegeek.com	Dessert
109	Salted Saltines Crackers	200	50 g	NA	wisegeek.com	Snack, Grains
110	Hard Candy	200	50 g	Werther	wisegeek.com	Snack, Dessert
111	Chocolate Bar	200	41 g	Snickers	wisegeek.com	Snack, Dessert
112	Doritos	200	41 g	Frito-Lay	wisegeek.com	Snack, Grains
113	Marshmallow Treat	200	40 g	NA	wisegeek.com	Snack, Dessert
114	M&M Candy	200	40 g	Mars	wisegeek.com	Snack, Dessert
115	Peanut Butter Crackers	200	39 g	NA	wisegeek.com	Snack, Grains
116	Cheetos	200	38 g	Frito-Lay	wisegeek.com	Snack, Grains
117	Potato Chips	200	37 g	NA	wisegeek.com	Snack, Grains
118	Chocolate	200	36 g	Hershey	wisegeek.com	Snack, Dessert
119	Almonds	200	35 g	NA	wisegeek.com	Snack
120	Fried Bacon	200	34 g	NA	wisegeek.com	Meat
121	Peanut Butter	200	34 g	NA	wisegeek.com	Snack
122	Salted Mixed Nuts	200	33 g	NA	wisegeek.com	Snack
123	Butter	200	28 g	NA	wisegeek.com	Dairy
124	Canola Oil	200	23 g	NA	wisegeek.com	Condiment
125	Brownie	112	2 inch square	NA	Lecture 3	Dessert
126	Pie With Ice Cream	1600	1 plate	Chili's	Lecture 3	Fast Food, Dessert
127	Strawberries & Crème Frappuccino	750	Venti (20 oz)	NA	Lecture 3	Fast Food, Beverage, Dessert
128	Cheese Fries With Ranch Dressing	2900	1 plate	Outback	Lecture 3	Fast Food
